5919,Android (1982),Sci-Fi
6835,Alien Contamination (1980),Action|Horror|Sci-Fi
5746,Galaxy of Terror (Quest) (1981),Action|Horror|Mystery|Sci-Fi
7991,Death Race 2000 (1975),Action|Sci-Fi
2851,Saturn 3 (1980),Adventure|Sci-Fi|Thriller
4518,The Lair of the White Worm (1988),Comedy|Horror
5181,Hangar 18 (1980),Action|Sci-Fi|Thriller
70946,Troll 2 (1990),Fantasy|Horror
3703,"Road Warrior, The (Mad Max 2) (1981)",Action|Adventure|Sci-Fi|Thriller
849,Escape from L.A. (1996),Action|Adventure|Sci-Fi|Thriller
7899,Master of the Flying Guillotine (Du bi quan wang da po xue di zi) (1975),Action
26409,"Clonus Horror, The (1979)",Horror|Sci-Fi
5764,Looker (1981),Drama|Horror|Sci-Fi|Thriller
3024,Piranha (1978),Horror|Sci-Fi
1587,Conan the Barbarian (1982),Action|Adventure|Fantasy
2288,"Thing, The (1982)",Action|Horror|Sci-Fi|Thriller
407,In the Mouth of Madness (1995),Horror|Thriller
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
7360,Dawn of the Dead (2004),Action|Drama|Horror|Thriller
3052,Dogma (1999),Adventure|Comedy|Fantasy
8874,Shaun of the Dead (2004),Comedy|Horror
7153,"Lord of the Rings: The Return of the King, The (2003)",Action|Adventure|Drama|Fantasy
3535,American Psycho (2000),Crime|Horror|Mystery|Thriller
6957,Bad Santa (2003),Comedy|Crime
1275,Highlander (1986),Action|Adventure|Fantasy
48385,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),Comedy
49272,Casino Royale (2006),Action|Adventure|Thriller
47,Seven (a.k.a. Se7en) (1995),Mystery|Thriller
4467,"Adventures of Baron Munchausen, The (1988)",Adventure|Comedy|Fantasy
6857,Ninja Scroll (Jûbei ninpûchô) (1995),Action|Adventure|Animation|Fantasy
6333,X2: X-Men United (2003),Action|Adventure|Sci-Fi|Thriller
5219,Resident Evil (2002),Action|Horror|Sci-Fi|Thriller
1241,Dead Alive (Braindead) (1992),Comedy|Fantasy|Horror
2858,American Beauty (1999),Drama|Romance
2640,Superman (1978),Action|Adventure|Sci-Fi
1047,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller
1255,Bad Taste (1987),Comedy|Horror|Sci-Fi
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi
6934,"Matrix Revolutions, The (2003)",Action|Adventure|Sci-Fi|Thriller|IMAX
1967,Labyrinth (1986),Adventure|Fantasy|Musical
3811,Breaker Morant (1980),Drama|War
3527,Predator (1987),Action|Sci-Fi|Thriller
115149,John Wick (2014),Action|Thriller
2700,"South Park: Bigger, Longer and Uncut (1999)",Animation|Comedy|Musical
40491,"Match Factory Girl, The (Tulitikkutehtaan tyttö) (1990)",Comedy|Drama
2193,Willow (1988),Action|Adventure|Fantasy
5971,My Neighbor Totoro (Tonari no Totoro) (1988),Animation|Children|Drama|Fantasy
72998,Avatar (2009),Action|Adventure|Sci-Fi|IMAX
1261,Evil Dead II (Dead by Dawn) (1987),Action|Comedy|Fantasy|Horror
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
215,Before Sunrise (1995),Drama|Romance
110102,Captain America: The Winter Soldier (2014),Action|Adventure|Sci-Fi|IMAX
3671,Blazing Saddles (1974),Comedy|Western
1278,Young Frankenstein (1974),Comedy|Fantasy
82857,Sweetgrass (2009),Adventure|Documentary|Western
88129,Drive (2011),Crime|Drama|Film-Noir|Thriller
60737,Watching the Detectives (2007),Comedy|Romance
115713,Ex Machina (2015),Drama|Sci-Fi|Thriller
7748,Pierrot le fou (1965),Crime|Drama
7767,"Best of Youth, The (La meglio gioventù) (2003)",Drama
1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
96608,Runaway Brain (1995) ,Animation|Comedy|Sci-Fi
176371,Blade Runner 2049 (2017),Sci-Fi
152711,Who Killed Chea Vichea? (2010),Documentary
951,His Girl Friday (1940),Comedy|Romance
3300,Pitch Black (2000),Horror|Sci-Fi|Thriller
6818,Come and See (Idi i smotri) (1985),Drama|War
1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
2025,Lolita (1997),Drama|Romance
909,"Apartment, The (1960)",Comedy|Drama|Romance
3653,"Endless Summer, The (1966)",Documentary
7842,Dune (2000),Drama|Fantasy|Sci-Fi
122882,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi|Thriller
1284,"Big Sleep, The (1946)",Crime|Film-Noir|Mystery
7022,Battle Royale (Batoru rowaiaru) (2000),Action|Drama|Horror|Thriller
858,"Godfather, The (1972)",Crime|Drama
3741,Badlands (1973),Crime|Drama|Thriller
3019,Drugstore Cowboy (1989),Crime|Drama
179135,Blue Planet II (2017),Documentary
95843,Goodbye Charlie (1964),Comedy|Fantasy|Romance
4794,Opera (1987),Crime|Horror|Mystery
2924,Drunken Master (Jui kuen) (1978),Action|Comedy
903,Vertigo (1958),Drama|Mystery|Romance|Thriller
5254,Blade II (2002),Action|Horror|Thriller
170705,Band of Brothers (2001),Action|Drama|War
6299,"Winged Migration (Peuple migrateur, Le) (2001)",Documentary
3911,Best in Show (2000),Comedy
7940,The Magician (1958),Drama
1218,"Killer, The (Die xue shuang xiong) (1989)",Action|Crime|Drama|Thriller
153070,Rabbits (2002),Comedy|Drama|Fantasy
112623,Dawn of the Planet of the Apes (2014),Sci-Fi
31522,"Marriage of Maria Braun, The (Ehe der Maria Braun, Die) (1979)",Drama
85736,BURN-E (2008),Adventure|Animation|Children|Sci-Fi
25887,Tales of Manhattan (1942),Comedy|Drama
3608,Pee-wee's Big Adventure (1985),Adventure|Comedy
26401,Last Hurrah for Chivalry (Hao xia) (1979),Action|Drama
1371,Star Trek: The Motion Picture (1979),Adventure|Sci-Fi
501,Naked (1993),Drama
7218,"Ox-Bow Incident, The (1943)",Drama|Western
167064,I Am Not Your Negro (2017),Documentary
